出席番号,氏名,氏名（カタカナ）,性別,電話番号,出身地,血液型
1,青柳 道男,アオヤギ ミチオ,男,852655413,岩手県,A
2,青山 遥佳,アオヤマ ハルカ,女,184849017,香川県,A
3,吾妻 彩音,アズマ アヤネ,女,991024345,和歌山県,A
4,石黒 杏子,イシグロ キョウコ,女,247825264,宮城県,A
5,猪股 雛子,イノマタ ヒナコ,女,263299934,佐賀県,B
6,今田 文音,イマダ アヤネ,女,466839104,香川県,O
7,岩井 澄子,イワイ スミコ,女,859024378,三重県,AB
8,梅沢 萌,ウメザワ モエ,女,221603080,岐阜県,B
9,大関 梨沙,オオゼキ リサ,女,480546387,秋田県,A
10,大沼 美由紀,オオヌマ ミユキ,女,235583346,滋賀県,AB
11,川島 貞雄,カワシマ サダオ,男,770432814,大阪府,A
12,北 心優,キタ ミユ,女,325303329,山形県,O
13,鬼頭 孝雄,キトウ タカオ,男,76290751,東京都,O
14,古賀 末治,コガ スエジ,男,17575588,大分県,A
15,鮫島 麻紀,サメジマ マキ,女,495540469,奈良県,A
16,椎名 敏郎,シイナ トシロウ,男,153855912,長崎県,A
17,塩見 公男,シオミ キミオ,男,778244171,宮崎県,O
18,島本 純一,シマモト ジュンイチ,男,823492543,宮城県,A
19,末吉 隆一,スエヨシ リュウイチ,男,283751344,宮崎県,B
20,杉山 早希,スギヤマ サキ,女,437390839,和歌山県,O
21,瀬川 勝雄,セガワ カツオ,男,766941040,富山県,AB
22,妹尾 敏幸,セノオ トシユキ,男,235991361,東京都,B
23,外山 孝吉,ソトヤマ コウキチ,男,5239922,新潟県,A
24,武田 哲男,タケダ テツオ,男,745123972,沖縄県,B
25,竹本 義勝,タケモト ヨシカツ,男,283037355,徳島県,A
26,谷口 晴美,タニグチ ハルミ,女,581765063,東京都,A
27,花井 昌孝,ハナイ マサタカ,男,631616966,神奈川県,A
28,浜崎 貞,ハマザキ サダ,女,883113085,高知県,A
29,林 椛,ハヤシ モミジ,女,22038383,京都府,O
30,坂東 良明,バンドウ ヨシアキ,男,884561624,宮城県,O
31,平本 香里,ヒラモト カオリ,女,490799324,富山県,A
32,古河 満,フルカワ ミツル,男,333306810,青森県,A
33,細田 和徳,ホソダ カズノリ,男,74048805,福島県,A
34,細谷 瑞樹,ホソヤ ミズキ,女,964994119,徳島県,A
35,前田 琴子,マエダ コトコ,女,176437659,大分県,A
36,三原 達徳,ミハラ タツノリ,男,593290753,大阪府,B
37,毛利 涼太,モウリ リョウタ,男,193837390,沖縄県,A
38,森永 義夫,モリナガ ヨシオ,男,192166274,滋賀県,O
39,森山 友美,モリヤマ ユミ,女,952307133,宮城県,B
40,山川 政志,ヤマカワ マサシ,男,953186819,石川県,A
