出席番号,氏名,氏名（カタカナ）,性別,電話番号,出身地,血液型
1,青柳 敏,アオヤギ サトシ,男,980241514,栃木県,A
2,天野 好夫,アマノ ヨシオ,男,896957239,鳥取県,B
3,雨宮 修司,アメミヤ シュウジ,男,554318508,奈良県,A
4,石橋 一二三,イシバシ ヒフミ,女,836280329,和歌山県,O
5,和泉 真由子,イズミ マユコ,女,267264795,茨城県,O
6,井出 恵理子,イデ エリコ,女,771319989,長野県,O
7,岩瀬 美央,イワセ ミオ,女,776858164,群馬県,B
8,宇佐美 留美子,ウサミ ルミコ,女,996918267,青森県,O
9,太田 芳明,オオタ ヨシアキ,男,964295345,長野県,AB
10,大橋 琴葉,オオハシ コトハ,女,191040151,愛知県,A
11,大宮 美咲,オオミヤ ミサキ,女,2851350,東京都,O
12,大和田 理穂,オオワダ リホ,女,649504375,北海道,O
13,岡田 桃,オカダ モモ,女,856993113,香川県,A
14,木田 乃亜,キダ ノア,女,820867302,徳島県,O
15,木村 里沙,キムラ リサ,女,82055318,千葉県,AB
16,日下 美里,クサカ ミサト,女,176127945,奈良県,B
17,小松 扶三代,コマツ フミヨ,女,871548939,滋賀県,O
18,小森 瑞貴,コモリ ミズキ,女,576088499,静岡県,AB
19,佐久間 勝哉,サクマ カツヤ,男,880430589,三重県,A
20,沢井 重夫,サワイ シゲオ,男,983210932,愛媛県,A
21,高木 清治,タカギ セイジ,男,859971687,鳥取県,A
22,滝口 春男,タキグチ ハルオ,男,884236266,埼玉県,O
23,土肥 栄太郎,ドイ エイタロウ,男,744487693,広島県,A
24,富永 廣祐,トミナガ コウスケ,男,243694886,和歌山県,B
25,中沢 勇人,ナカザワ ハヤト,男,297477913,京都府,O
26,中嶋 昭吉,ナカジマ ショウキチ,男,839781373,千葉県,A
27,中谷 哲,ナカタニ サトシ,男,296007356,長野県,O
28,西脇 篤彦,ニシワキ アツヒコ,男,296819404,香川県,O
29,羽田 未来,ハタ ミライ,女,836630355,福井県,O
30,平林 浩重,ヒラバヤシ ヒロシゲ,男,957763295,島根県,O
31,深谷 茂子,フカヤ シゲコ,女,770311041,山口県,A
32,船越 和奏,フナコシ ワカナ,女,226845062,岡山県,B
33,堀田 英晴,ホッタ ヒデハル,男,784749724,佐賀県,O
34,松村 涼香,マツムラ スズカ,女,237916575,島根県,O
35,宮下 美子,ミヤシタ ヨシコ,女,795124394,佐賀県,O
36,三好 平八郎,ミヨシ ヘイハチロウ,男,848147867,岐阜県,O
37,森岡 遥菜,モリオカ ハルナ,女,880282970,長野県,A
38,安田 南,ヤスダ ミナミ,女,559894706,福井県,A
39,柳川 夏帆,ヤナガワ カホ,女,89697185,宮崎県,A
40,山岸 桃花,ヤマギシ モモカ,女,858874508,長崎県,A
